"URXBMA.Code.or.Value","URXBMA.Value.Description","URXBMA.Count","URXBMA.Cumulative","URXBMA.Skip.to.Item"
"0.354 to 1630","Range of Values",2655,2655,NA
".","Missing",324,2979,NA
