"SMQ666B.Code.or.Value","SMQ666B.Value.Description","SMQ666B.Count","SMQ666B.Cumulative","SMQ666B.Skip.to.Item"
"1","Regulars",0,0,NA
"2","Lights",2,2,NA
"3","Ultralights",0,2,NA
"7","Refused",0,2,NA
"9","Don't know",0,2,NA
".","Missing",6988,6990,NA
