"RXDRSC2.Code.or.Value","RXDRSC2.Value.Description","RXDRSC2.Count","RXDRSC2.Cumulative","RXDRSC2.Skip.to.Item"
"ICD-10-CM code 2","Value was recorded",876,876,NA
"< blank >","Missing",18771,19647,NA
