"URXBUP.Code.or.Value","URXBUP.Value.Description","URXBUP.Count","URXBUP.Cumulative","URXBUP.Skip.to.Item"
"0.14 to 1240","Range of Values",2548,2548,NA
".","Missing",90,2638,NA
