"OHQ680.Code.or.Value","OHQ680.Value.Description","OHQ680.Count","OHQ680.Cumulative","OHQ680.Skip.to.Item"
"1","Very often",230,230,NA
"2","Fairly often",142,372,NA
"3","Occasionally",284,656,NA
"4","Hardly ever, or",239,895,NA
"5","Never?",3667,4562,NA
"7","Refused",1,4563,NA
"9","Don't know",2,4565,NA
".","Missing",4799,9364,NA
