"VIQ056.Code.or.Value","VIQ056.Value.Description","VIQ056.Count","VIQ056.Cumulative","VIQ056.Skip.to.Item"
"1","No difficulty",4871,4871,NA
"2","A little difficulty",167,5038,NA
"3","Moderate difficulty",43,5081,NA
"4","Extreme difficulty",14,5095,NA
"5","Unable to do because of eyesight",57,5152,NA
"6","Does not do this for other reasons",349,5501,NA
"7","Never drove",425,5926,NA
"77","Refused",0,5926,NA
"99","Don't know",1,5927,NA
".","Missing",1246,7173,NA
