"LBXSATSI.Code.or.Value","LBXSATSI.Value.Description","LBXSATSI.Count","LBXSATSI.Cumulative","LBXSATSI.Skip.to.Item"
"6 to 319","Range of Values",6256,6256,NA
".","Missing",488,6744,NA
