"MCQ260AD.Code.or.Value","MCQ260AD.Value.Description","MCQ260AD.Count","MCQ260AD.Cumulative","MCQ260AD.Skip.to.Item"
"4","Mother's father",186,186,"MCQ250B"
".","Missing",9307,9493,""
