"DR1TATOA.Code.or.Value","DR1TATOA.Value.Description","DR1TATOA.Count","DR1TATOA.Cumulative","DR1TATOA.Skip.to.Item"
"0 to 62.7","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
