"DR2IGRMS.Code.or.Value","DR2IGRMS.Value.Description","DR2IGRMS.Count","DR2IGRMS.Cumulative","DR2IGRMS.Skip.to.Item"
"0.01 to 8887.5","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
