"LBXPFHP.Code.or.Value","LBXPFHP.Value.Description","LBXPFHP.Count","LBXPFHP.Cumulative","LBXPFHP.Skip.to.Item"
"0.07 to 1.55","Range of Values",1904,1904,NA
".","Missing",273,2177,NA
