"RDQ050.Code.or.Value","RDQ050.Value.Description","RDQ050.Count","RDQ050.Cumulative","RDQ050.Skip.to.Item"
"1","Yes",387,387,""
"2","No",6898,7285,"RDQ070"
"7","Refused",3,7288,"RDQ070"
"9","Don't know",2,7290,"RDQ070"
".","Missing",2203,9493,""
