"WBXP056.Code.or.Value","WBXP056.Value.Description","WBXP056.Count","WBXP056.Cumulative","WBXP056.Skip.to.Item"
"-168.8182 to 156.8838","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
