"BIXS008K.Code.or.Value","BIXS008K.Value.Description","BIXS008K.Count","BIXS008K.Cumulative","BIXS008K.Skip.to.Item"
"289.15 to 1050.7","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
