"LBDLARLC.Code.or.Value","LBDLARLC.Value.Description","LBDLARLC.Count","LBDLARLC.Cumulative","LBDLARLC.Skip.to.Item"
"0","At or above the detection limit",4080,4080,NA
"1","Below lower detection limit",169,4249,NA
".","Missing",1394,5643,NA
