"SPFUALC.Code.or.Value","SPFUALC.Value.Description","SPFUALC.Count","SPFUALC.Cumulative","SPFUALC.Skip.to.Item"
"0","At or above the detection limit",215,215,NA
"1","Below lower detection limit",1241,1456,NA
".","Missing",0,1456,NA
