"VIXKRD2.Code.or.Value","VIXKRD2.Value.Description","VIXKRD2.Count","VIXKRD2.Cumulative","VIXKRD2.Skip.to.Item"
"37.25 to 68.25","Range of Values",6442,6442,NA
"88","Could not obtain",51,6493,NA
".","Missing",497,6990,NA
