"BPXDI3.Code.or.Value","BPXDI3.Value.Description","BPXDI3.Count","BPXDI3.Cumulative","BPXDI3.Skip.to.Item"
"0 to 114","Range of Values",5658,5658,NA
".","Missing",3985,9643,NA
