"URDUSRLC.Code.or.Value","URDUSRLC.Value.Description","URDUSRLC.Count","URDUSRLC.Cumulative","URDUSRLC.Skip.to.Item"
"0","At or above the detection limit",2527,2527,NA
"1","Below lower detection limit",1,2528,NA
".","Missing",77,2605,NA
