"WTSPH4YR.Code.or.Value","WTSPH4YR.Value.Description","WTSPH4YR.Count","WTSPH4YR.Cumulative","WTSPH4YR.Skip.to.Item"
"0 to 308716.27489","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
