"URXMC1.Code.or.Value","URXMC1.Value.Description","URXMC1.Count","URXMC1.Cumulative","URXMC1.Skip.to.Item"
"0.14 to 1588.7","Range of Values",2749,2749,NA
".","Missing",70,2819,NA
