"DUQ215Q.Code.or.Value","DUQ215Q.Value.Description","DUQ215Q.Count","DUQ215Q.Cumulative","DUQ215Q.Skip.to.Item"
"0 to 999","Range of Values",854,854,NA
"7777","Refused",2,856,NA
"9999","Don't know",2,858,NA
".","Missing",3714,4572,NA
