"DR2TP205.Code.or.Value","DR2TP205.Value.Description","DR2TP205.Count","DR2TP205.Cumulative","DR2TP205.Skip.to.Item"
"0 to 2.527","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
