"LBXSTP.Code.or.Value","LBXSTP.Value.Description","LBXSTP.Count","LBXSTP.Cumulative","LBXSTP.Skip.to.Item"
"5.4 to 10","Range of Values",6489,6489,NA
".","Missing",501,6990,NA
