"URXUPB.Code.or.Value","URXUPB.Value.Description","URXUPB.Count","URXUPB.Cumulative","URXUPB.Skip.to.Item"
"0.02 to 23.4","Range of Values",2528,2528,NA
".","Missing",77,2605,NA
