"WTSPO43.Code.or.Value","WTSPO43.Value.Description","WTSPO43.Count","WTSPO43.Cumulative","WTSPO43.Skip.to.Item"
"0.0000000 to 850054.4665300","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
