"BPQ020.Code.or.Value","BPQ020.Value.Description","BPQ020.Count","BPQ020.Cumulative","BPQ020.Skip.to.Item"
"1","Yes",2090,2090,""
"2","No",4231,6321,"BPQ080"
"7","Refused",0,6321,"BPQ080"
"9","Don't know",6,6327,"BPQ080"
".","Missing",0,6327,""
