"LBD196LC.Code.or.Value","LBD196LC.Value.Description","LBD196LC.Count","LBD196LC.Cumulative","LBD196LC.Skip.to.Item"
"0","At or above the detection limit",255,255,NA
"1","Below lower detection limit",9,264,NA
".","Missing",1,265,NA
