"DRD370H.Code.or.Value","DRD370H.Value.Description","DRD370H.Count","DRD370H.Cumulative","DRD370H.Skip.to.Item"
"1","Yes",130,130,""
"2","No",5159,5289,"DRD370I"
".","Missing",4049,9338,""
