"WTSHM01.Code.or.Value","WTSHM01.Value.Description","WTSHM01.Count","WTSHM01.Cumulative","WTSHM01.Skip.to.Item"
"0.0000000 to 761759.9788500","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
