"OSD110d.Code.or.Value","OSD110d.Value.Description","OSD110d.Count","OSD110d.Cumulative","OSD110d.Skip.to.Item"
"30 to 68","Range of Values",4,4,NA
"80","80 or older",0,4,NA
"777","Refused",0,4,NA
"999","Don't know",0,4,NA
".","Missing",3065,3069,NA
