"URXUAB.Code.or.Value","URXUAB.Value.Description","URXUAB.Count","URXUAB.Cumulative","URXUAB.Skip.to.Item"
"0.3 to 1011.3","Range of Values",2573,2573,NA
".","Missing",100,2673,NA
