"DR1TTFAT.Code.or.Value","DR1TTFAT.Value.Description","DR1TTFAT.Count","DR1TTFAT.Cumulative","DR1TTFAT.Skip.to.Item"
"0 to 379.12","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
