"CIQP13H.Code.or.Value","CIQP13H.Value.Description","CIQP13H.Count","CIQP13H.Cumulative","CIQP13H.Skip.to.Item"
"1","Yes",61,61,NA
"2","No",57,118,NA
"7","Refused",0,118,NA
"9","Don't know",0,118,NA
".","Missing",810,928,NA
