"DR1IZINC.Code.or.Value","DR1IZINC.Value.Description","DR1IZINC.Count","DR1IZINC.Cumulative","DR1IZINC.Skip.to.Item"
"0 to 298.41","Range of Values",144880,144880,NA
".","Missing",823,145703,NA
