"LBCGHC.Code.or.Value","LBCGHC.Value.Description","LBCGHC.Count","LBCGHC.Cumulative","LBCGHC.Skip.to.Item"
"3.465 to 8.949","Range of Values",251,251,NA
".","Missing",0,251,NA
