"DR2TSODI.Code.or.Value","DR2TSODI.Value.Description","DR2TSODI.Count","DR2TSODI.Cumulative","DR2TSODI.Skip.to.Item"
"0 to 20683","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
