"DXDHETOT.Code.or.Value","DXDHETOT.Value.Description","DXDHETOT.Count","DXDHETOT.Cumulative","DXDHETOT.Skip.to.Item"
"2669.3 to 7609.2","Range of Values",4979,4979,NA
".","Missing",801,5780,NA
