"LBXSTB.Code.or.Value","LBXSTB.Value.Description","LBXSTB.Count","LBXSTB.Cumulative","LBXSTB.Skip.to.Item"
"0.2 to 7.3","Range of Values",6855,6855,NA
".","Missing",514,7369,NA
