"WBXF080.Code.or.Value","WBXF080.Value.Description","WBXF080.Count","WBXF080.Cumulative","WBXF080.Skip.to.Item"
"3668.0162 to 3668.0162","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
