"DR2TCRYP.Code.or.Value","DR2TCRYP.Value.Description","DR2TCRYP.Count","DR2TCRYP.Cumulative","DR2TCRYP.Skip.to.Item"
"0 to 7302","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
