"RFXT148.Code.or.Value","RFXT148.Value.Description","RFXT148.Count","RFXT148.Cumulative","RFXT148.Skip.to.Item"
"1291 to 1300","Range of Values",51052,51052,NA
".","Missing",24,51076,NA
