"MSDPFTR.Code.or.Value","MSDPFTR.Value.Description","MSDPFTR.Count","MSDPFTR.Cumulative","MSDPFTR.Skip.to.Item"
"1 to 6","Range of Values",1542,1542,NA
".","Missing",751,2293,NA
