"LBXVD3MS.Code.or.Value","LBXVD3MS.Value.Description","LBXVD3MS.Count","LBXVD3MS.Cumulative","LBXVD3MS.Skip.to.Item"
"4.35 to 250","Range of Values",8040,8040,NA
".","Missing",1125,9165,NA
