"DIQ175A.Code.or.Value","DIQ175A.Value.Description","DIQ175A.Count","DIQ175A.Cumulative","DIQ175A.Skip.to.Item"
"10","Family history",1143,1143,NA
"77","Refused",0,1143,NA
"99","Don't know",2,1145,NA
".","Missing",7752,8897,NA
