"LBDRFOSI.Code.or.Value","LBDRFOSI.Value.Description","LBDRFOSI.Count","LBDRFOSI.Cumulative","LBDRFOSI.Skip.to.Item"
"189 to 6730","Range of Values",8099,8099,NA
".","Missing",1066,9165,NA
