"WBXF027.Code.or.Value","WBXF027.Value.Description","WBXF027.Count","WBXF027.Cumulative","WBXF027.Skip.to.Item"
"793.7005 to 793.7005","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
