"URXUMMA.Code.or.Value","URXUMMA.Value.Description","URXUMMA.Count","URXUMMA.Cumulative","URXUMMA.Skip.to.Item"
"0.14 to 17","Range of Values",2654,2654,NA
".","Missing",101,2755,NA
