"BPXML1.Code.or.Value","BPXML1.Value.Description","BPXML1.Count","BPXML1.Cumulative","BPXML1.Skip.to.Item"
"110 to 260","Range of Values",7371,7371,NA
".","Missing",2173,9544,NA
