"VTQ160.Code.or.Value","VTQ160.Value.Description","VTQ160.Count","VTQ160.Cumulative","VTQ160.Skip.to.Item"
"1","Yes",44,44,NA
"2","No",602,646,NA
"7","Refused",3,649,NA
"9","Don't know",0,649,NA
".","Missing",202,851,NA
