"BIXC806K.Code.or.Value","BIXC806K.Value.Description","BIXC806K.Count","BIXC806K.Cumulative","BIXC806K.Skip.to.Item"
"10.89 to 2027.61","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
