"LBDHEM.Code.or.Value","LBDHEM.Value.Description","LBDHEM.Count","LBDHEM.Cumulative","LBDHEM.Skip.to.Item"
"1","Positive",90,90,NA
"2","Negative",7034,7124,NA
"3","Indeterminate",0,7124,NA
".","Missing",897,8021,NA
