"DXDSTA.Code.or.Value","DXDSTA.Value.Description","DXDSTA.Count","DXDSTA.Cumulative","DXDSTA.Skip.to.Item"
"873.43 to 2609.89","Range of Values",3569,3569,NA
".","Missing",1545,5114,NA
