"DSQIFIBE.Code.or.Value","DSQIFIBE.Value.Description","DSQIFIBE.Count","DSQIFIBE.Cumulative","DSQIFIBE.Skip.to.Item"
"0.1 to 18","Range of Values",113,113,NA
".","Missing",8156,8269,NA
