"MCQ300b.Code.or.Value","MCQ300b.Value.Description","MCQ300b.Count","MCQ300b.Cumulative","MCQ300b.Skip.to.Item"
"1","Yes",1909,1909,NA
"2","No",6088,7997,NA
"7","Refused",1,7998,NA
"9","Don't know",163,8161,NA
".","Missing",1203,9364,NA
