"TYXA147.Code.or.Value","TYXA147.Value.Description","TYXA147.Count","TYXA147.Cumulative","TYXA147.Skip.to.Item"
"0.09 to 6.656","Range of Values",6435,6435,NA
".","Missing",2034,8469,NA
