"RHQ560Q.Code.or.Value","RHQ560Q.Value.Description","RHQ560Q.Count","RHQ560Q.Cumulative","RHQ560Q.Skip.to.Item"
"1 to 48","Range of Values",289,289,NA
"77","Refused",0,289,NA
"99","Don't know",6,295,NA
".","Missing",3323,3618,NA
