"PFQ049.Code.or.Value","PFQ049.Value.Description","PFQ049.Count","PFQ049.Cumulative","PFQ049.Skip.to.Item"
"1","Yes",886,886,NA
"2","No",5043,5929,NA
"7","Refused",0,5929,NA
"9","Don't know",6,5935,NA
".","Missing",3731,9666,NA
