"MSXW20TM.Code.or.Value","MSXW20TM.Value.Description","MSXW20TM.Count","MSXW20TM.Cumulative","MSXW20TM.Skip.to.Item"
"1.64 to 42.38","Range of Values",2027,2027,NA
".","Missing",266,2293,NA
