"URXCRS.Code.or.Value","URXCRS.Value.Description","URXCRS.Count","URXCRS.Cumulative","URXCRS.Skip.to.Item"
"312.9 to 54896.4","Range of Values",7632,7632,NA
".","Missing",304,7936,NA
