"DXDRAPF.Code.or.Value","DXDRAPF.Value.Description","DXDRAPF.Count","DXDRAPF.Cumulative","DXDRAPF.Skip.to.Item"
"10.1 to 65.7","Range of Values",5348,5348,NA
".","Missing",685,6033,NA
