"VIXKRMM.Code.or.Value","VIXKRMM.Value.Description","VIXKRMM.Count","VIXKRMM.Cumulative","VIXKRMM.Skip.to.Item"
"6.04 to 9.46","Range of Values",6432,6432,NA
"88","Could not obtain",72,6504,NA
".","Missing",413,6917,NA
