"AUXR6KL.Code.or.Value","AUXR6KL.Value.Description","AUXR6KL.Count","AUXR6KL.Cumulative","AUXR6KL.Skip.to.Item"
"25 to 100","Range of Values",21,21,NA
"666","No response",0,21,NA
"888","Could not obtain",0,21,NA
".","Missing",2025,2046,NA
