"DSQTFA.Code.or.Value","DSQTFA.Value.Description","DSQTFA.Count","DSQTFA.Cumulative","DSQTFA.Skip.to.Item"
"0.8 to 8000","Range of Values",2478,2478,NA
".","Missing",7671,10149,NA
